language,BCP-47 code,ISO 639-3 code,ISO 639-1 code
Russia Buriat,,bxr,
Busam,,bxs,
China Buriat,,bxu,
Berakou,,bxv,
Bankagooma,,bxw,
Binahari,,bxz,
Batak,,bya,
Bikya,,byb,
Ubaghara,byc_Latn,byc,
Benyadu',,byd,
Pouye,,bye,
Bete,,byf,
Baygo,,byg,
Bhujel,,byh,
Buyu,,byi,
Bina (Nigeria),,byj,
Biao,,byk,
Bayono,,byl,
Bidjara,,bym,
Blin,,byn,
Biyo,,byo,
Bumaji,,byp,
Basay,,byq,
Yipma,byr_Latn,byr,
Burak,bys_Latn,bys,
Berti,,byt,
Medumba,byv_Latn,byv,
Belhariya,,byw,
Qaqet,byx_Latn,byx,
Banaro,,byz,
Bandi,,bza,
Andio,,bzb,
Southern Betsimisaraka Malagasy,,bzc,
Bribri,,bzd,
Jenaama Bozo,,bze,
Boikin,,bzf,
Babuza,,bzg,
"Buang, Mapos",bzh_Latn,bzh,
Bisu,bzi_Thai,bzi,
Belize English Creole,bzj_Latn,bzj,
Nicaragua Creole English,,bzk,
Boano (Sulawesi),,bzl,
Bolondo,,bzm,
Boano (Maluku),,bzn,
Bozaba,,bzo,
Kemberano,,bzp,
Buli (Indonesia),,bzq,
Biri,,bzr,
Burmeso,,bzu,
Naami,,bzv,
Basa (Nigeria),bzw_Latn,bzw,
Kɛlɛngaxo Bozo,,bzx,
Obanliku,,bzy,
Evant,,bzz,
Ch’orti’,caa_Latn,caa,
Garifuna,cab_Latn,cab,
Chuj,cac_Latn,cac,
Caddo,,cad,
Lehar,,cae,
Southern Carrier,,caf,
Nivaclé,,cag,
Cahuarano,,cah,
Chané,,caj,
Kaqchikel,cak_Latn,cak,
Carolinian,,cal,
Cemuhî,,cam,
Chambri,,can,
Chácobo,,cao,
Chipaya,cap_Latn,cap,
Car Nicobarese,,caq,
Carib,car_Latn,car,
Tsimané,cas_Latn,cas,
Catalan,cat_Latn,cat,ca
Cavineña,,cav,
Chiquitano,cax_Latn,cax,
Cayuga,,cay,
Canichana,,caz,
Cabiyarí,,cbb,
Carapana,cbc_Latn,cbc,
Carijona,,cbd,
Chimila,,cbg,
Chachi,cbi_Latn,cbi,
Ede Cabe,,cbj,
Chavacano,,cbk,
Bualkhaw Chin,,cbl,
Nyahkur,,cbn,
Izora,,cbo,
Tsucuba,,cbq,
Kakataibo-Kashibo,cbr_Latn,cbr,
Kashinawa,cbs_Latn,cbs,
Shawi,cbt_Latn,cbt,
Kandozi-Chapra,cbu_Latn,cbu,
Cacua,cbv_Latn,cbv,
Kinabalian,,cbw,
Chamicuro,,ccc,
Cafundo Creole,,ccd,
Chopi,cce_Latn,cce,
Samba Daka,ccg_Latn,ccg,
Atsam,,cch,
Kasanga,,ccj,
Cutchi-Swahili,,ccl,
Malaccan Creole Malay,,ccm,
"Chinantec, Comaltepec",cco_Latn,cco,
Chakma,,ccp,
Cacaopera,,ccr,
Choni,,cda,
Chenchu,,cde,
Chiru,,cdf,
Chambeali,,cdh,
Chodri,,cdi,
Churahi,cdj_Deva,cdj,
Chepang,,cdm,
Chaudangsi,,cdn,
Min Dong Chinese,cdo_Hans,cdo,
Cinda-Regi-Tiyal,,cdr,
Chadong,,cdy,
Koda,,cdz,
Lower Chehalis,,cea,
Cebuano,ceb_Latn,ceb,
Chamacoco,ceg_Latn,ceg,
"Chin, Eastern Khumi",cek_Latn,cek,
Cen,cen_Latn,cen,
Czech,ces_Latn,ces,cs
Centúúm,,cet,
Dijim-Bwilim,cfa_Latn,cfa,
Cara,,cfd,
Como Karim,,cfg,
"Chin, Falam",cfm_Latn,cfm,
Changriwa,,cga,
Kagayanen,cgc_Latn,cgc,
Chiga,cgg_Latn,cgg,
Chocangacakha,,cgk,
Chamorro,,cha,ch
Chibcha,,chb,
Catawba,,chc,
Highland Oaxaca Chontal,,chd,
Chechen,che_Cyrl,che,ce
"Chontal, Tabasco",chf_Latn,chf,
Chagatai,,chg,
Chinook,,chh,
Ojitlán Chinantec,,chj,
Chuukese,,chk,
Cahuilla,,chl,
Chinook jargon,,chn,
Choctaw,,cho,
Dene Suline,,chp,
Quiotepec Chinantec,chq_Latn,chq,
Cherokee,,chr,
Cholón,,cht,
Old Slavonic,,chu,cu
Chuvash,chv_Cyrl,chv,cv
Chuwabu,,chw,
Chantyal,,chx,
Cheyenne,,chy,
"Chinantec, Ozumacín",chz_Latn,chz,
Cia-Cia,,cia,
Ci Gbe,,cib,
Chickasaw,,cic,
Chimariko,,cid,
Cineni,,cie,
Chinali,,cih,
Chitkuli Kinnauri,,cik,
Cimbrian,,cim,
Cinta Larga,,cin,
Chiapanec,,cip,
Tiri,,cir,
Chippewa,,ciw,
Chaima,,ciy,
Western Cham,,cja,
Chru,,cje,
Upper Chehalis,,cjh,
Chamalal,,cji,
Eastern Cham,,cjm,
Chenapian,,cjn,
"Ashéninka, Pajonal",cjo_Latn,cjo,
Cabécar,cjp_Latn,cjp,
Shor,cjs_Cyrl,cjs,
Chuave,,cjv,
Jinyu Chinese,,cjy,
"Kurdish, Central",ckb_Arab,ckb,
Central Kurdish,ckb_Arab,ckb,
Chak,,ckh,
Cibak,ckl_Latn,ckl,
Anufo,cko_Latn,cko,
Kajakse,,ckq,
Kairak,ckr_Latn,ckr,
Tayo,,cks,
Chukchi,ckt_Cyrl,ckt,
Koasati,,cku,
Kavalan,,ckv,
Caka,,ckx,
Cakfem-Mushere,cky_Latn,cky,
Ron,cla_Latn,cla,
Chilcotin,,clc,
Chaldean Neo-Aramaic,,cld,
"Chinantec, Lealao",cle_Latn,cle,
Chilisso,,clh,
Chakali,,cli,
Idu-Mishmi,,clk,
Chala,,cll,
Clallam,,clm,
Lowland Oaxaca Chontal,,clo,
Lautu Chin,,clt,
Caluyanun,,clu,
Chulym,,clw,
"Chatino, Eastern Highland",cly_Latn,cly,
Maa,,cma,
Cerma,cme_Latn,cme,
Emberá-Chamí,,cmi,
Campalagian,,cml,
Mandarin Chinese,cmn_Hans,cmn,
"Chinese, Mandarin",,cmn-script_simplified,
Central Mnong,cmo_Khmr,cmo,
"Mnong, Central",,cmo-script_latin,
Mro-Khimi,cmr_Latn,cmr,
Messapic,,cms,
Changthang,,cna,
Chinbon Chin,,cnb,
Côông,,cnc,
Northern Qiang,,cng,
"Chin, Hakha",cnh_Latn,cnh,
Asháninka,cni_Latn,cni,
Khumi Chin,,cnk,
"Chinantec, Lalana",cnl_Latn,cnl,
Northern Pinghua,,cnp,
Central Asmat,,cns,
"Chinantec, Tepetotutla",cnt_Latn,cnt,
Chenoua,,cnu,
Ngawn Chin,,cnw,
Cocos Islands Malay,,coa,
Chicomuceltec,,cob,
Cocopa,,coc,
Cocama-Cocamilla,,cod,
Koreguaje,coe_Latn,coe,
Tsafiki,cof_Latn,cof,
Chong,,cog,
Chonyi-Dzihana-Kauma,,coh,
Cochimi,,coj,
"Cora, Santa Teresa",cok_Latn,cok,
Columbia-Wenatchi,,col,
Comanche,,com,
Cofán,con_Latn,con,
Comox,,coo,
Coptic,,cop,
Coquille,,coq,
Cornish,cor_Latn,cor,kw
Corsican,,cos,co
Caquinte,cot_Latn,cot,
Wamey,cou_Latn,cou,
Cao Miao,,cov,
Cowlitz,,cow,
Nanti,,cox,
Chochotec,,coz,
"Chinantec, Palantla",cpa_Latn,cpa,
"Ashéninka, Ucayali-Yurúa",cpb_Latn,cpb,
Ajyíninka Apurucayali,,cpc,
Cappadocian Greek,,cpg,
Cherepon,,cpn,
Kpeego,,cpo,
Capiznon,,cps,
"Ashéninka, Pichis",cpu_Latn,cpu,
Pu-Xian Chinese,cpx_Hans,cpx,
South Ucayali Ashéninka,cpy_Latn,cpy,
Chara,,cra,
Island Carib,,crb,
Lonwolwol,,crc,
Coeur d'Alene,,crd,
Caramanta,,crf,
Michif,,crg,
Crimean Tatar,crh_Latn,crh,
Sãotomense,,cri,
Southern East Cree,,crj,
Plains Cree,crk_Cans,crk,
"Cree, Plains",,crk-script_latin,
Northern East Cree,,crl,
Moose Cree,,crm,
"Cora, El Nayar",crn_Latn,crn,
Crow,,cro,
"Chorote, Iyo’wujwa",crq_Latn,crq,
Carolina Algonquian,,crr,
Seychelles French Creole,crs_Latn,crs,
"Chorote, Iyojwa’ja",crt_Latn,crt,
Chaura,,crv,
Chrau,,crw,
Carrier,,crx,
Cori,,cry,
Cruzeño,,crz,
Chiltepec Chinantec,,csa,
Kashubian,,csb,
Asho Chin,,csh,
Coast Miwok,,csi,
Jola-Kasa,csk_Latn,csk,
Central Sierra Miwok,,csm,
"Chinantec, Sochiapam",cso_Latn,cso,
Southern Pinghua,,csp,
Southern Ohlone,,css,
Northern Ohlone,,cst,
Sumtu Chin,,csv,
Swampy Cree,,csw,
Siyin Chin,,csy,
Coos,,csz,
Tataltepec Chatino,,cta,
"Chin, Tedim",ctd_Latn,ctd,
Tepinapa Chinantec,cte_Latn,cte,
Chittagonian,ctg_Beng,ctg,
Tlacoatzintepec Chinantec,ctl_Latn,ctl,
Chitimacha,,ctm,
Chhintange,,ctn,
Embera Catío,cto_Latn,cto,
Western Highland Chatino,,ctp,
Northern Catanduanes Bikol,,cts,
Wayanad Chetti,,ctt,
Chol,ctu_Latn,ctu,
Zacatepec Chatino,,ctz,
Cua,,cua,
Cubeo,,cub,
"Chinantec, Usila",cuc_Latn,cuc,
Gichuka,,cuh,
Cuiba,cui_Latn,cui,
Mashco Piro,,cuj,
"Kuna, San Blas",cuk_Latn,cuk,
Kulina,cul_Latn,cul,
Cumanagoto,,cuo,
Cupeño,,cup,
Cun,,cuq,
Chhulung,,cur,
Teutila Cuicatec,cut_Latn,cut,
Tai Ya,,cuu,
Cuvok,,cuv,
Chukwa,,cuw,
Tepeuxila Cuicatec,cux_Latn,cux,
Cuitlatec,,cuy,
Chug,,cvg,
Valle Nacional Chinantec,,cvn,
Kabwa,cwa_Latn,cwa,
Maindo,,cwb,
Woods Cree,,cwd,
Kwere,cwe_Latn,cwe,
Chewong,,cwg,
Kuwaataay,cwt_Latn,cwt,
"Chatino, Nopala",cya_Latn,cya,
Cayubaba,,cyb,
Welsh,cym_Latn,cym,cy
Cuyonon,,cyo,
Huizhou Chinese,,czh,
Zenzontepec Chatino,,czn,
Min Zhong Chinese,,czo,
Zotung Chin,,czt,
Dangaléat,daa_Latn,daa,
Dambi,,dac,
Marik,,dad,
Duupa,,dae,
Dagbani,dag_Latn,dag,
Gwahatike,dah_Latn,dah,
Day,,dai,
Dar Fur Daju,,daj,
Dakota,,dak,
Dahalo,,dal,
Damakawa,,dam,
Danish,dan_Latn,dan,da
Daai Chin,,dao,
Dandami Maria,,daq,
Dargwa,dar_Cyrl,dar,
Daho-Doo,,das,
Dar Sila Daju,,dau,
Taita,dav_Latn,dav,
Davawenyo,,daw,
Dayi,,dax,
Dao,,daz,
Bangime,,dba,
Deno,,dbb,
Dadiya,dbd_Latn,dbd,
Dabe,,dbe,
Edopi,,dbf,
Dogul Dom Dogon,,dbg,
Doka,,dbi,
Ida’an,dbj_Latn,dbj,
Dyirbal,,dbl,
Duguri,,dbm,
Duriankere,,dbn,
Dulbu,,dbo,
Duwai,,dbp,
Daba,dbq_Latn,dbq,
Dabarre,,dbr,
Ben Tey Dogon,,dbt,
Bondum Dom Dogon,,dbu,
Bankan Tey Dogon,,dbw,
Dibiyaso,,dby,
Deccan,dcc_Arab,dcc,
Negerhollands,,dcr,
Dongotono,,ddd,
Doondo,,dde,
Fataluku,,ddg,
West Goodenough,,ddi,
Jaru,,ddj,
Dendi,ddn_Latn,ddn,
Dido,,ddo,
Dhudhuroa,,ddr,
Donno So Dogon,,dds,
Dawera-Daweloor,,ddw,
Dagik,,dec,
Dedua,ded_Latn,ded,
Dewoin,,dee,
Dezfuli,,def,
Degema,deg_Latn,deg,
Dehwari,,deh,
Demisa,,dei,
Dem,,dem,
Dendi (Central African Republic),,deq,
Deori,,der,
Desano,des_Latn,des,
"German, Standard",deu_Latn,deu,de
German,deu_Latn,deu,de
Domung,,dev,
Dengese,,dez,
"Dagaare, Southern",dga_Latn,dga,
Bunoge Dogon,,dgb,
Casiguran Dumagat Agta,,dgc,
Dagaari Dioula,,dgd,
Degenan,,dge,
Doga,,dgg,
Dghwede,dgh_Latn,dgh,
"Dagara, Northern",dgi_Latn,dgi,
Dagba,dgk_Latn,dgk,
Dongolawi,,dgl,
Dagoman,,dgn,
Dogri,dgo_Deva,dgo,
Tlicho,dgr_Latn,dgr,
Dogoso,,dgs,
Daungwurrung,,dgw,
Doghoro,,dgx,
Daga,,dgz,
Dhundari,,dhd,
Djangu,,dhg,
Dhimal,dhi_Deva,dhi,
Dhalandji,,dhl,
Zemba,,dhm,
Dhanki,,dhn,
Dhodia,,dho,
Dhargari,,dhr,
Dhaiso,,dhs,
Dhurga,,dhu,
Drehu,,dhv,
Dhanwar (Nepal),,dhw,
Dia,,dia,
South Central Dinka,,dib,
Lakota Dida,,dic,
Didinga,did_Latn,did,
Diyari,,dif,
Chidigo,dig_Latn,dig,
Kumiai,,dih,
Dimbong,,dii,
Dai,,dij,
"Dinka, Southwestern",dik_Latn,dik,
Dilling,,dil,
Dime,,dim,
Dibo,,dio,
"Dinka, Northeastern",dip_Latn,dip,
Dimli,,diq,
Dirim,,dir,
Dimasa,,dis,
Diriku,,diu,
Maldivian,div_Thaa,div,dv
Northwestern Dinka,,diw,
Dixon Reef,,dix,
Diuwe,,diy,
Ding,,diz,
Djinba,,djb,
Dar Daju Daju,,djc,
Ngaliwurru,,djd,
Zarma,dje_Latn,dje,
Djangun,,djf,
Djinang,,dji,
Djeebbana,,djj,
Aukan,djk_Latn,djk,
Jamsay Dogon,,djm,
Jawoyn,,djn,
Jangkang,,djo,
Djambarrpuyngu,,djr,
Kapriman,,dju,
Djawi,,djw,
Dakpakha,,dka,
Dakka,,dkk,
Kuijau,,dkr,
Southeastern Dinka,,dks,
Mazagway,,dkx,
Dolgan,,dlg,
Dahalik,,dlk,
Dalmatian,,dlm,
Darlong,,dln,
Duma,,dma,
Mombo Dogon,,dmb,
Gavak,,dmc,
Madhi Madhi,,dmd,
Dugwor,,dme,
Upper Kinabatangan,,dmg,
Domaaki,dmk_Arab,dmk,
Dameli,dml_Arab,dml,
Dama,,dmm,
Kemedzung,,dmo,
East Damar,,dmr,
Dampelas,,dms,
Tebi,,dmu,
Dumpas,,dmv,
Dema,,dmx,
Sowari,,dmy,
Upper Grand Valley Dani,,dna,
Daonda,,dnd,
Ndendeule,,dne,
Dungan,,dng,
Lower Grand Valley Dani,,dni,
Dan,dnj_Latn,dnj,
Dengka,,dnk,
Dzùùngoo,,dnn,
Northern Lendu,,dno,
Danaru,,dnr,
"Dani, Mid Grand Valley",dnt_Latn,dnt,
Danau,,dnu,
"Dani, Western",dnw_Latn,dnw,
Dení,,dny,
Dom,,doa,
Dobu,,dob,
Northern Dong,,doc,
Doe,,doe,
Domu,,dof,
Dong,,doh,
Dondo,,dok,
Doso,,dol,
Toura (Papua New Guinea),,don,
Dongo,,doo,
Lukpa,dop_Latn,dop,
Dori'o,,dor,
Dogosé,dos_Latn,dos,
Dass,,dot,
Dombe,,dov,
Doyayo,,dow,
Bussa,,dox,
Dompo,,doy,
Dorze,,doz,
Papar,,dpp,
Dair,,drb,
Minderico,,drc,
Darmiya,,drd,
Dolpo,,dre,
Rungus,,drg,
C'Lela,,dri,
Paakantyi,,drl,
West Damar,,drn,
Daro-Matu Melanau,,dro,
Dura,,drq,
Gedeo,,drs,
Drents,,drt,
Rukai,dru_Latn,dru,
Darai,,dry,
Lower Sorbian,dsb_Latn,dsb,
Daasanach,dsh_Latn,dsh,
Disa,,dsi,
Dusner,,dsn,
Desiya,,dso,
Tadaksahak,,dsq,
Daur,,dta,
Labuk-Kinabatangan Kadazan,,dtb,
Ditidaht,,dtd,
Adithinngithigh,,dth,
Ana Tinga Dogon,,dti,
Tene Kan Dogon,,dtk,
Tomo Kan Dogon,,dtm,
Daatsʼíin,,dtn,
Tommo So Dogon,,dto,
Kadazan Dusun,dtp_Latn,dtp,
Lotud,,dtr,
"Dogon, Toro So",dts_Latn,dts,
Toro Tegu Dogon,,dtt,
Tebul Ure Dogon,,dtu,
Dotyali,dty_Deva,dty,
Duala,dua_Latn,dua,
Dubli,,dub,
Duna,,duc,
Umiray Dumaget Agta,,due,
Dumbea,,duf,
Chiduruma,dug_Latn,dug,
Dungra Bhil,,duh,
Dumun,,dui,
Uyajitaya,,duk,
Alabat Island Agta,,dul,
Middle Dutch (ca. 1050-1350),,dum,
Dusun Deyah,,dun,
Dupaninan Agta,,duo,
Duano,,dup,
Dusun Malang,,duq,
Dii,,dur,
Dumi,,dus,
Drung,,duu,
Duvle,,duv,
Dusun Witu,,duw,
Duungooma,,dux,
Dicamay Agta,,duy,
Duli-Gey,,duz,
Duau,,dva,
Diri,,dwa,
Dawro,dwr_Latn,dwr,
Dawawa,,dww,
Dewas Rai,,dwz,
Dyan,,dya,
Dyaberdyaber,,dyb,
Dyugun,,dyd,
"Sénoufo, Djimini",dyi_Latn,dyi,
Yanda Dom Dogon,,dym,
Dyangadi,,dyn,
Jola-Fonyi,dyo_Latn,dyo,
Jula,dyu_Latn,dyu,
Dyaabugay,,dyy,
Tunzu,,dza,
Djiwarli,,dze,
Dazaga,dzg_Latn,dzg,
Dzalakha,,dzl,
Dzando,,dzn,
Dzongkha,dzo_Tibt,dzo,dz
Ebughu,,ebg,
Teke-Ebo,,ebo,
Ebrié,,ebr,
Kiembu,ebu_Latn,ebu,
E,,eee,
Efai,,efa,
Efe,,efe,
Efik,,efi,
Ega,,ega,
Emilian,,egl,
Eggon,ego_Latn,ego,
Egyptian (Ancient),,egy,
Ehueun,,ehu,
Lik,eip_Latn,eip,
Eitiep,,eit,
Askopan,eiv_Latn,eiv,
Ejamat,,eja,
Ekajuk,eka_Latn,eka,
Ekit,,eke,
Ekari,,ekg,
Eki,,eki,
Kol (Bangladesh),,ekl,
Elip,,ekm,
Koti,eko_Latn,eko,
Ekpeye,,ekp,
Yace,ekr_Latn,ekr,
Eastern Kayah,,eky,
Elepi,,ele,
El Hugeirat,,elh,
Nding,,eli,
Elkei,,elk,
Greek,ell_Grek,ell,el
Eleme,elm_Latn,elm,
El Molo,,elo,
Elu,,elu,
Elamite,,elx,
Emai-Iuleha-Ora,,ema,
Embaloh,,emb,
Emerillon,,eme,
Eastern Meohang,,emg,
Mussau-Emira,,emi,
Eastern Maninkakan,,emk,
Eman,,emn,
"Emberá, Northern",emp_Latn,emp,
Eastern Minyag,,emq,
Pacific Gulf Yupik,,ems,
Eastern Muria,,emu,
Emplawas,,emw,
Epigraphic Mayan,,emy,
Mbessa,,emz,
Scottish English,,en-sc,
American English,,en-us,
Apali,,ena,
Markweeta,enb_Latn,enb,
En,,enc,
Ende,,end,
Forest Enets,,enf,
English,eng_Latn,eng,en
Tundra Enets,,enh,
Enlhet,,enl,
Middle English (1100-1500),,enm,
Engenni,,enn,
Enggano,,eno,
Enga,,enq,
Emumu,,enr,
Enu,,enu,
Enwan (Edu State),,env,
Enwan (Akwa Ibom State),,enw,
Enxet,enx_Latn,enx,
Beti (Côte d'Ivoire),,eot,
Epie,,epi,
Esperanto,epo_Latn,epo,eo
Eravallan,,era,
Sie,,erg,
Eruwa,,erh,
Ogea,,eri,
South Efate,,erk,
Horpa,,ero,
Erre,,err,
Ersu,,ers,
Eritai,,ert,
Erokwanas,,erw,
Ese Ejja,ese_Latn,ese,
Eshtehardi,,esh,
North Alaskan Inupiatun,,esi,
Northwest Alaska Inupiatun,,esk,
Esselen,,esq,
"Yupik, Saint Lawrence Island",ess_Latn,ess,
Estonian,est_Latn,est,et
Central Yupik,esu_Latn,esu,
Etebi,,etb,
Eton (Vanuatu),,etn,
Eton (Cameroon),eto_Latn,eto,
Edolo,,etr,
Yekhee,ets_Latn,ets,
Etruscan,,ett,
Ejagham,etu_Latn,etu,
Eten,,etx,
Semimi,,etz,
Basque,eus_Latn,eus,eu
Even,,eve,
Uvbie,,evh,
Evenki,evn_Cyrl,evn,
Éwé,ewe_Latn,ewe,ee
Ewondo,ewo_Latn,ewo,
Extremaduran,,ext,
Eyak,,eya,
Keiyo,eyo_Latn,eyo,
Ezaa,eza_Latn,eza,
Uzekwe,,eze,
Fasu,,faa,
Fa d'Ambu,,fab,
Wagi,,fad,
Fagani,,faf,
Finongan,,fag,
Baissa Fali,,fah,
Faiwol,,fai,
Faita,,faj,
Fang (Cameroon),,fak,
"Fali, South",fal_Latn,fal,
Fam,,fam,
Fang (Equatorial Guinea),fan_Latn,fan,
Faroese,fao_Latn,fao,fo
Paloor,,fap,
Fataleka,far_Latn,far,
Persian,fas_Arab,fas,fa
Fayu,,fau,
Fala,,fax,
Southwestern Fars,,fay,
Feroge,,fer,
Maasina Fulfulde,,ffm,
Fongoro,,fgr,
Nobiin,fia_Latn,fia,
Fyer,,fie,
Faifi,,fif,
Fijian,fij_Latn,fij,fj
Pilipino,fil_Latn,fil,
Finnish,fin_Latn,fin,fi
Fipa,fip_Latn,fip,
Firan,,fir,
Tornedalen Finnish,,fit,
Fiwaga,,fiw,
Kirya-Konzəl,fkk_Latn,fkk,
Kven Finnish,,fkv,
Kalispel-Pend d'Oreille,,fla,
Foau,,flh,
Fali,,fli,
North Fali,,fll,
Flinders Island,,fln,
Fuliiru,flr_Latn,flr,
Fe'fe',fmp_Latn,fmp,
"Muria, Far Western",fmu_Deva,fmu,
Fanbak,,fnb,
Fania,,fni,
Foodo,,fod,
Foi,,foi,
Fon,fon_Latn,fon,
Fore,,for,
Siraya,,fos,
Fernando Po Creole English,,fpe,
Fas,,fqs,
Belgian French,,fr-be,
Swiss French,,fr-sw,
French,fra_Latn,fra,fr
Cajun French,,frc,
Fordata,frd_Latn,frd,
Frankish,,frk,
Old French (842-ca. 1400),,fro,
Francoprovençal,,frp,
Forak,,frq,
Northern Frisian,,frr,
Eastern Frisian,,frs,
Fortsenal,,frt,
Frisian,fry_Latn,fry,fy
suomenruotsalainen viittomakieli,,fss,
Adamawa Fulfulde,fub_Latn,fub,
Pulaar,fuc_Latn,fuc,
East Futuna,,fud,
Borgu Fulfulde,fue_Latn,fue,
Pular,,fuf,
Western Niger Fulfulde,,fuh,
Bagirmi Fulfulde,,fui,
Ko,,fuj,
Fulah,ful_Latn,ful,ff
Fulniô,,fun,
Central-Eastern Niger Fulfulde,fuq_Latn,fuq,
Futuna-Aniwa,,fut,
Furu,,fuu,
Nigerian Fulfulde,fuv_Latn,fuv,
Fuyug,,fuy,
Fur,,fvr,
Fwâi,,fwa,
Fwe,,fwe,
Ga,,gaa,
Gabri,,gab,
Mixed Great Andamanese,,gac,
Gaddang,,gad,
Guarequena,,gae,
Gende,,gaf,
Gagauz,gag_Cyrl,gag,
Alekano,,gah,
Mbore,gai_Latn,gai,
Gadsup,,gaj,
Gamkonora,,gak,
Galolen,,gal,
Kandawo,gam_Latn,gam,
Gan Chinese,,gan,
Gants,,gao,
Gal,,gap,
Gata',,gaq,
Galeya,,gar,
Adiwasi Garasia,,gas,
Kenati,,gat,
"Gadaba, Mudhili",gau_Telu,gau,
Nobonob,,gaw,
Borana-Arsi-Guji Oromo,,gax,
Gayo,,gay,
West Central Oromo,gaz_Latn,gaz,
Kaytetye,,gbb,
Karajarri,,gbd,
Niksek,,gbe,
Gaikundi,,gbf,
Gbanziri,,gbg,
Defi Gbe,,gbh,
Galela,gbi_Latn,gbi,
Bodo Gadaba,,gbj,
Gaddi,gbk_Deva,gbk,
Gamit,,gbl,
Garhwali,gbm_Deva,gbm,
Mo'da,,gbn,
"Grebo, Northern",gbo_Latn,gbo,
Gbaya-Bossangoa,,gbp,
Gbaya-Bozoum,,gbq,
Gbagyi,gbr_Latn,gbr,
Gbesi Gbe,,gbs,
Gagadu,,gbu,
Gbanu,,gbv,
Gabi-Gabi,,gbw,
Eastern Xwla Gbe,,gbx,
Gbari,gby_Latn,gby,
Zoroastrian Dari,,gbz,
Mali,gcc_Latn,gcc,
Ganggalida,,gcd,
Galice,,gce,
Guadeloupean Creole French,,gcf,
Grenadian Creole English,,gcl,
Gaina,,gcn,
Guianese Creole French,,gcr,
Colonia Tovar German,,gct,
Gade Lohar,,gda,
Pottangi Ollar Gadaba,,gdb,
Gugu Badhun,,gdc,
Gedaged,,gdd,
Gude,gde_Latn,gde,
Guduf-Gava,gdf_Latn,gdf,
Ga'dang,,gdg,
Gajirrabeng,,gdh,
Gundi,,gdi,
Gurdjar,,gdj,
Gadang,,gdk,
Dirasha,,gdl,
Laal,,gdm,
Umanakaina,,gdn,
Ghodoberi,,gdo,
Mehri,,gdq,
Wipi,,gdr,
Gudu,,gdu,
Godwari,,gdx,
Geruma,,gea,
Kire,geb_Latn,geb,
Gboloo Grebo,,gec,
Gade,,ged,
Hutterite German,,geh,
Gebe,,gei,
Gen,gej_Latn,gej,
Ywom,,gek,
ut-Ma'in,,gel,
Geme,,geq,
Geser-Gorom,ges_Latn,ges,
Eviya,,gev,
Gera,,gew,
Garre,,gex,
Enya,,gey,
Geez,,gez,
Patpatar,,gfk,
Gafat,,gft,
Gao,,gga,
Gbii,,ggb,
Gugadj,,ggd,
Gurr-goni,,gge,
Gurgula,ggg_Arab,ggg,
Kungarakany,,ggk,
Ganglau,,ggl,
Gitua,,ggt,
Gban,,ggu,
Gogodala,,ggw,
Ghadamès,,gha,
Hiberno-Scottish Gaelic,,ghc,
Southern Ghale,,ghe,
Northern Ghale,,ghh,
Geko Karen,,ghk,
Ghulfan,,ghl,
Ghanongga,,ghn,
Ghomara,,gho,
Ghera,,ghr,
Guhu-Samane,,ghs,
Kutang Ghale,,ght,
Kija,,gia,
Gidar,gid_Latn,gid,
Guébie,,gie,
Goaria,gig_Arab,gig,
Githabul,,gih,
Girirra,,gii,
Kiribati,gil_Latn,gil,
Gimi (Eastern Highlands),,gim,
Hinukh,,gin,
Gimi (West New Britain),,gip,
Green Gelao,,giq,
Red Gelao,,gir,
North Giziga,,gis,
Gitxsan,,git,
Mulao,,giu,
White Gelao,,giw,
Gilima,,gix,
South Giziga,giz_Latn,giz,
Kachi Koli,gjk_Gujr,gjk,
Gunditjmara,,gjm,
Gonja,gjn_Latn,gjn,
Gujari,gju_Arab,gju,
Guya,,gka,
Magɨ (Madang Province),,gkd,
Ndai,,gke,
Gokana,gkn_Latn,gkn,
Kok-Nar,,gko,
Guinea Kpelle,,gkp,
ǂUngkue,,gku,
Belning,,glb,
Bon Gula,,glc,
Nanai,gld_Cyrl,gld,
Irish,gle_Latn,gle,ga
Galician,glg_Latn,glg,gl
Northwest Pashayi,,glh,
Gula Iro,,glj,
Gilaki,glk_Arab,glk,
Garlali,,gll,
Galambu,,glo,
Glaro-Twabo,,glr,
Gula (Chad),,glu,
Manx,glv_Latn,glv,gv
Glavda,glw_Latn,glw,
Gule,,gly,
Gambera,,gma,
Gula'alaa,,gmb,
Mághdì,,gmd,
Magɨyi,,gmg,
Middle High German (ca. 1050-1500),,gmh,
Middle Low German,,gml,
Gbaya-Mbodomo,,gmm,
Gimnime,,gmn,
Gumalu,,gmu,
Gamo,gmv_Latn,gmv,
Magoma,,gmx,
Mycenaean Greek,,gmy,
Kaansa,gna_Latn,gna,
Gangte,,gnb,
Guanche,,gnc,
Zulgo-Gemzek,gnd_Latn,gnd,
Ganang,,gne,
Ngangam,gng_Latn,gng,
Lere,,gnh,
Gooniyandi,,gni,
Ngen,,gnj,
ǁGana,,gnk,
Gangulu,,gnl,
Ginuman,,gnm,
Gumatj,,gnn,
Northern Gondi,,gno,
Gana,,gnq,
Gureng Gureng,,gnr,
Guntai,,gnt,
Gnau,,gnu,
Western Bolivian Guaraní,,gnw,
Ganzi,,gnz,
Guro,,goa,
Playero,,gob,
Gorakor,,goc,
Godié,,god,
